JSON,Response ID,D6_country,D6_continent,C3_tools,D4_languages,C4_tasks,C9_conditions,C11_documentation,U11_ownership
12,R_4pPks86qxJL2GPg,India,Asia,ChatGPT-3.5,Python,"Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)","Only to be used for reference, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
13,R_4MxLprYeelTLb69,Italy,Europe,"ChatGPT-4, GitHub Copilot, JetBrains AI","C / C++, Delphi, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Creating user interfaces",Yes,,Belongs to the creators whose works were used as training data for the output
14,R_1rArUBsKKCciyt3,United States,North America,"ChatGPT-3.5, GitHub Copilot",JavaScript,"Code documentation, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)",Not applicable,,Belongs to no one (i.e. is in the public domain)
15,R_2k1B6YJVY70RiHh,Denmark,Europe,"ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
16,R_4mghl3dr3D9iGrF,India,Asia,GitHub Copilot,"Java, JavaScript, Python","Code documentation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to no one (i.e. is in the public domain)
17,R_47qiDq7MOjig2jn,Taiwan,Asia,,Python,,,,
18,R_4aKVyu3V4Kp3bz7,United States,North America,"ChatGPT-4, GitHub Copilot","Golang, Ruby","Code documentation, Creating user interfaces, Prototyping/mocking, Refactoring, Reference / Learning, Test case generation, Writing source code",I don't know,,Belongs to no one (i.e. is in the public domain)
19,R_65zKuDyHmSZG54W,United States,North America,"ChatGPT-3.5, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
20,R_5FyyOogMshh4IpJ,Canada,North America,"ChatGPT-4, Codium",JavaScript,"Test case generation, Writing source code","Code must be manually reviewed, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
21,R_4M97UPA5J7g8iNm,Malaysia,Asia,,"Java, Kotlin, Python",,,,
22,R_2rIBvjH5bMl5TI9,Estonia,Europe,"Amazon CodeWhisperer, JetBrains AI","Java, JavaScript","Test case generation, Code documentation, Writing source code",Yes,,Belongs to the developer who prompted the model (or their employer)
23,R_6j23tHAYLWBFF8b,France,Europe,,"Java, Scala",,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
24,R_41XWOfPPHXUlbQL,South Korea,Asia,ChatGPT-3.5,"C / C++, JavaScript","Test case generation, Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
25,R_663kRL7ZMQ9DJyg,Czechia,Europe,"Bard, ChatGPT-3.5, ChatGPT-4, Codeium, Mendix AI Tools","Java, JavaScript, Python","Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
26,R_6rkgYxY3CaIGE9g,Nigeria,Africa,"Bard, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, Phind","C#, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
27,R_1HTxxAFkCtndPue,United States,North America,"Bard, Bard Duet, ChatGPT-4, GitHub Copilot","JavaScript, Python","Debugging, Prototyping/mocking, Refactoring, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
28,R_4ivxL4aVnMOJph7,China,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","PHP, Python","Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,Documenting the entire interaction with a code generation tool,Belongs to the developer who prompted the model (or their employer)
29,R_6YS1MLK4A8gqVIN,Brazil,South America,,Python,,I don't know,,Depends on the training set
30,R_7D89Bn84QelAP4k,Spain,Europe,,"Julia, Python, R, Rust",,Yes,,Belongs to no one (i.e. is in the public domain)
31,R_6lGFQzkjeqMDOCe,United States,North America,Tabnine,Python,"Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Noting the usage of a code generation tool,Belongs to the creators whose works were used as training data for the output
32,R_4O6BC3hPjRIKuyw,Singapore,Asia,"ChatGPT-4, GitHub Copilot","C / C++, Java, Python",Writing source code,Yes,,Belongs to the developer who prompted the model (or their employer)
33,R_4paTWvh7LPE3197,India,Asia,"ChatGPT-3.5, GitHub Copilot","C / C++, JavaScript, PHP, Python","Code documentation, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Noting the usage of a code generation tool,Belongs to the creators whose works were used as training data for the output
34,R_3FwWcltctCETh3X,Canada,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, C#, JavaScript, Python","Database Operations, Prototyping/mocking, Readily_Verifiable_Tasks, Automation, Test case generation",Yes,,Belongs to the creators whose works were used as training data for the output
35,R_1hXAAURCXtHdyXT,United States,North America,"GitHub Copilot, IntelliCode","C / C++, C#, Java","Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
36,R_1gc0qQ9YPrcVzK6,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C / C++, JavaScript, Python, R","Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
37,R_7OO26ysKzHVrAmH,Brazil,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",No direction from organization,,"Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
38,R_4JDcGrPJACBBUXS,United States,North America,"Bard, ChatGPT-3.5, GitHub Copilot","Bash, Java, Python, Shell","Code documentation, Writing source code","Partially or under certain conditions, Varies across projects and data",,Belongs to no one (i.e. is in the public domain)
39,R_7QWwWmSf4JUzMuR,United States,North America,"ChatGPT-4, GitHub Copilot",Python,"Writing source code, Prototyping/mocking, Creating user interfaces","Partially or under certain conditions, Varies across projects and data",,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
40,R_3EG1Ruaq67iMPNA,United States,North America,"ChatGPT-4, GitHub Copilot",TypeScript,"Test case generation, Writing source code, Creating user interfaces, Refactoring","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
41,R_7RVwNtYiMAOTkxX,United States,North America,,"C / C++, JavaScript, Lisp",,Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
42,R_77rJLVzs99KJPJn,United States,North America,ChatGPT-4,"Java, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring","Can be used for research, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
43,R_4VIQ62AYVVTKInM,India,Asia,"Bard, ChatGPT-3.5, GitHub Copilot","C / C++, JavaScript, Python","Writing source code, Creating user interfaces",I don't know,,Belongs to no one (i.e. is in the public domain)
44,R_11n3am83emCMZfu,United States,North America,"ChatGPT-4, GitHub Copilot",Rust,"Code documentation, Writing source code, Refactoring",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
45,R_47s5D8I3QdciE3n,China,Asia,,JavaScript,,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
46,R_3UaH3LpgcKIf7AB,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Refactoring",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code",Belongs to the developer who prompted the model (or their employer)
47,R_3uQXDui7N3xWtwx,Germany,Europe,"ChatGPT-3.5, ChatGPT-4","C / C++, Python","Code documentation, Writing source code, Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
48,R_12S3D1cldpP3iJU,Germany,Europe,"ChatGPT-4, Ollama, Open-source Models, Perplexity AI","JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Don’t know/No opinion
49,R_1YrMe6zNUanTXZO,United States,North America,"ChatGPT-4, GitHub Copilot, Open-source Models, WizardCoder","C / C++, Golang, JavaScript, Python, Rust","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Noting the usage of a code generation tool,Belongs to the developer who prompted the model (or their employer)
50,R_2ValBhdlPMygvFL,United States,North America,"Bard, ChatGPT-3.5, GitHub Copilot, Claude (Anthropic) (any version)","C / C++, C#, Python","Code documentation, Writing source code, Creating user interfaces, Refactoring",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool","Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
51,R_4bhs5WOfVrmN1Gp,Japan,Asia,"Bard, ChatGPT-3.5, Tabby","C / C++, JavaScript, Python, TypeScript",Prototyping/mocking,"Code must be manually reviewed, Partially or under certain conditions",,Depends on level of modification
52,R_4kB1moQVBndjfXK,India,Asia,,Java,,Yes,,Belongs to the creators whose works were used as training data for the output
53,R_40ZRepVP6P1e3WG,South Korea,Asia,"ChatGPT-4, GitHub Copilot",Python,"Test case generation, Writing source code, Prototyping/mocking, Refactoring",I don't know,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
54,R_3Lv3eN1MkotGr9l,United States,North America,GitHub Copilot,JavaScript,"Test case generation, Writing source code, Prototyping/mocking",No,,Belongs to no one (i.e. is in the public domain)
55,R_3qhvnUcKRQUghLr,China,Asia,"BingChat, ChatGPT-3.5, GitHub Copilot","Golang, JavaScript, Python","Code documentation, Writing source code, Prototyping/mocking, Refactoring",I don't know,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
56,R_3OvGQ5zxTQx0vw2,"Belarus, United States","North America, Europe","ChatGPT-3.5, ChatGPT-4, cptX, cursor.sh","C#, Dart, JavaScript, Python, TypeScript","Code Explanation, Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Querying_Code_Base, Refactoring, Writing source code",Yes,,Belongs to the developer who prompted the model (or their employer)
57,R_423kq2H1jKXD4rx,India,Asia,"Bard, ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
58,R_4eWZYYGRlgfxQDI,Canada,North America,"GitHub Copilot, Amazon CodeWhisperer",JavaScript,"Pull Request Review, Repository Management, Test case generation, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
59,R_2EyWJXSoYLLUYBy,Germany,Europe,"Codeium, Codium, GitHub Copilot","JavaScript, PHP, TypeScript","Test case generation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
60,R_6isALPN6SLaZ3SX,Italy,Europe,,"Golang, JavaScript, Python",,Yes,,"Belongs to the creators whose works were used as training data for the output, Don’t know/No opinion"
61,R_1qDNrIEzSL7x3t0,United States,North America,"ChatGPT-4, GitHub Copilot",Python,Writing source code,Yes,,Belongs to no one (i.e. is in the public domain)
62,R_3FKW058pXdgGhG4,France,Europe,"Amazon CodeWhisperer, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Mozilla llamafile, Open-source Models","Golang, Python","Code documentation, Code styling and formatting (to meet employer or community standards), Generating Project Management Code, Prototyping/mocking, Refactoring, Test case generation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
63,R_3EFFWIHSOOT9OyC,United Kingdom,Europe,,"JavaScript, Python",,I don't know,,Belongs to the developer who prompted the model (or their employer)
64,R_2OYGNWrDgbx4sEo,Germany,Europe,"ChatGPT-3.5, ChatGPT-4, Phind","Golang, Java, JavaScript, Python","Code documentation, Writing source code, Prototyping/mocking",I don't know,,Musings on intellectual property rights law
65,R_2DosWWSvq1ULOa2,Sweden,Europe,GitHub Copilot,JavaScript,"Test case generation, Writing source code",Yes,,Don’t know/No opinion
66,R_5HU2VrnbsOtt4mU,Germany,Europe,GitHub Copilot,"Java, JavaScript, Python","Test case generation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
67,R_4qaCkpZaZZltg7k,Norway,Europe,,Python,,Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
68,R_2TQeUvNVbZsRMxb,Spain,Europe,"ChatGPT-3.5, ChatGPT-4","Python, R","Code Explanation, Debugging, Refactoring, Troubleshooting, Writing source code","Only in-house or company approved AI, Partially or under certain conditions",Documenting the prompt used to generate code,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
69,R_3CgdaC0J5u0pf1X,Italy,Europe,"ChatGPT-4, GitHub Copilot","Java, JavaScript, PHP","Test case generation, Code documentation, Writing source code, Refactoring","Depends on client, Partially or under certain conditions",,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
70,R_3XgNLwkCuCb8ZxS,Brazil,South America,"ChatGPT-4, GitHub Copilot","Python, R","Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
71,R_3E4BY2ljTYSzh78,United Kingdom,Europe,"ChatGPT-3.5, ChatGPT-4, Amazon CodeWhisperer","JavaScript, Python, R","Test case generation, Code documentation, Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
72,R_7ArX5QOc28srT9f,United States,North America,"ChatGPT-3.5, ChatGPT-4, ChatGPT-4V, Claude (Anthropic) (any version), GitHub Copilot, LLaVA",JavaScript,"Small or Quick Scripts, Creating user interfaces, Refactoring, Test case generation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
73,R_6wuh7USrAKgWkLW,France,Europe,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C / C++, Java, JavaScript, Python, Rust","Test case generation, Code documentation, Prototyping/mocking, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
74,R_6DVmkcAy2S8CKuH,United States,North America,"ChatGPT-4, GitHub Copilot",Python,"Test case generation, Code styling and formatting (to meet employer or community standards)",Currently testing AI tools,,Belongs to no one (i.e. is in the public domain)
75,R_8EagLLOS7tPGknr,France,Europe,"Claude (Anthropic) (any version), GitHub Copilot, Huggingchat","C / C++, Golang, Python","Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)",I don't know,,Belongs to the developer who prompted the model (or their employer)
76,R_3dLF7af3WjC2XQ5,Italy,Europe,ChatGPT-3.5,Python,Writing source code,Yes,,Don’t know/No opinion
77,R_5QKRKIeBYpAaBNa,Luxembourg,Europe,,"JavaScript, Rust",,I don't know,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
78,R_6XnPSE9L4x5dDgF,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Python, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)","Partially or under certain conditions, Varies across projects and data",,Belongs to no one (i.e. is in the public domain)
79,R_3r7aEYkQNzmS8YN,United States,North America,"Bard, ChatGPT 4.5-turbo, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version)","Golang, Python",Prototyping/mocking,Yes,,Belongs to no one (i.e. is in the public domain)
80,R_4S3wpkXFVXD8J9f,Poland,Europe,"ChatGPT-3.5, GitHub Copilot","C / C++, JavaScript, PHP, Python","Code documentation, Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
81,R_132KS5MeErsOYr6,Netherlands,Europe,,JavaScript,,Yes,,Belongs to no one (i.e. is in the public domain)
82,R_20ZLOjLUrjw4M7P,Slovenia,Europe,GitHub Copilot,Python,"Test case generation, Code documentation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
83,R_3ql4rtgMICZfzDt,South Korea,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring","Can be used for research, Partially or under certain conditions",,"Belongs to future generations, Belongs to no one (i.e. is in the public domain), Belongs to the developer who prompted the model (or their employer)"
84,R_4HmuxgeSusjcQAF,Russia,Asia,"ChatGPT-3.5, zzzcode.ai","C / C++, Python","Refactoring, Writing source code",Yes,,"Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
85,R_6G6uwucbF5knhrs,Italy,Europe,"ChatGPT-3.5, GitHub Copilot, Amazon CodeWhisperer","C / C++, JavaScript","Language Translation, Prototyping/mocking, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
86,R_5XZbpsDtRUNgDrb,United States,North America,"ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C / C++, C#, Golang, Java, JavaScript, PHP, Python, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Unsure,Belongs to the model itself
87,R_7hbi06KA9hOZ8PH,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, Codellama, DeepSeek Coder, GitHub Copilot, Hugging Face's Star Coder, Open-source Models, WizardCoder","C / C++, C#, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Belongs to no one (i.e. is in the public domain)
88,R_43sfYf7Jcs6h6z7,Taiwan,Asia,,"C#, JavaScript",,,,
89,R_1ZUcRsrNy8uiN1L,United States,North America,"ChatGPT-4, GitHub Copilot","C#, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Don’t know/No opinion
90,R_1X4hXQ9Fxr1R7wf,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring","Not widely used, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
91,R_4HqycF2aaFRsFTL,India,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer",JavaScript,"Writing source code, Creating user interfaces",Yes,,Belongs to no one (i.e. is in the public domain)
92,R_76CuKRASV5i5c2Z,China,Asia,,"JavaScript, Python",,,,
93,R_4PpmMcrK9wgSGzq,Australia,Oceania,"AI Engineering, ChatGPT-3.5, ChatGPT-4","Bootstrap, C / C++, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
94,R_4maCOTKATWpxaud,Bangladesh,Asia,"Bard, ChatGPT-3.5",Python,"Debugging, Reference / Learning, Troubleshooting",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
95,R_4DvExJNSaGJYm7L,India,Asia,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","C / C++, Java, Python, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,"Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool","Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
96,R_6tfg2denqZl21zG,Germany,Europe,GitHub Copilot,"C#, Java, JavaScript",Test case generation,Yes,Noting the usage of a code generation tool,Belongs to no one (i.e. is in the public domain)
97,R_5uCHxXyRMnDFxr6,United Kingdom,Europe,GitHub Copilot,"Golang, JavaScript","Test case generation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
98,R_2ts5Y6Nbe74Rv63,Latvia,Europe,"ChatGPT-4, GitHub Copilot",Rust,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Don’t know/No opinion
99,R_4djdvDZWimMQqpK,Germany,Europe,"ChatGPT-3.5, GitHub Copilot","Golang, JavaScript, PHP","Test case generation, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
100,R_4upVAO80yqucM41,Turkey,Asia,ChatGPT-4,Python,Code styling and formatting (to meet employer or community standards),Yes,,Don’t know/No opinion
101,R_4GtzbrAGgTDGzbb,Pakistan,Asia,"ChatGPT-4, GitHub Copilot","JavaScript, Python","Writing source code, Code styling and formatting (to meet employer or community standards)",No,,Belongs to no one (i.e. is in the public domain)
102,R_2qfb5J2f3rjGJTm,France,Europe,"Codeium, Mixtral, oobabooga",Python,"Test case generation, Code documentation, Writing source code, Refactoring",No guidelines yet,Noting the usage of a code generation tool,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
103,R_4dWm64F78iuNwkT,South Korea,Asia,"GitHub Copilot, In-House or Custom",C / C++,"Test case generation, Code documentation, Code styling and formatting (to meet employer or community standards)","Only in-house or company approved AI, Partially or under certain conditions",,Depends on the training set
104,R_6KvGyq187YEAwsd,"Germany, United States","North America, Europe",Phind,"C / C++, JavaScript, R",Writing source code,Yes,,Belongs to no one (i.e. is in the public domain)
105,R_671EsivP0BZTepX,Turkey,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C / C++, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
106,R_4z8Q37h2phErJhx,China,Asia,,"Golang, Java, PHP",,Yes,,Belongs to the creators whose works were used as training data for the output
107,R_4QWgBSSGmOj3MNV,"Ukraine, United Kingdom, Estonia, China","Asia, Europe","ChatGPT-4, GitHub Copilot","Java, JavaScript, Solidity","Code documentation, Writing source code, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
108,R_8gioRLKGSpi01SQ,United Kingdom,Europe,ChatGPT-3.5,"Golang, Python",Prototyping/mocking,Yes,,Belongs to no one (i.e. is in the public domain)
109,R_4gtHSEw9jIeQ7Ps,"United States, India","North America, Asia","ChatGPT-4, GitHub Copilot","JavaScript, Python, Ruby","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to the creators whose works were used as training data for the output
110,R_2Jl2HnKqdTZMwue,France,Europe,"ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","C / C++, Java, Matlab, Python","Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",No,,Belongs to no one (i.e. is in the public domain)
111,R_39yaO47wGiTf8pr,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot",JavaScript,"Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Don’t know/No opinion
112,R_5CgIpZgvUPUZQFb,Netherlands,Europe,"ChatGPT-4, GitHub Copilot, JetBrains AI","Golang, PHP, Python","Code documentation, Prototyping/mocking, Refactoring, Repository Management, Test case generation, Writing Commit Messages, Writing source code","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to the creators whose works were used as training data for the output
113,R_246G47qbmBezLPa,Germany,Europe,,"C / C++, C#, JavaScript, PHP",,,,
114,R_1qrsksJpHMUFv95,South Africa,Africa,"ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer",Python,"Test case generation, Writing source code, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
115,R_13a3FwkFrvvRq1H,France,Europe,,JavaScript,,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
116,R_3MfTMUCajqFMPh7,United States,North America,,"C / C++, C#, Rust",,No,,"Belongs to the creators whose works were used as training data for the output, Don’t know/No opinion"
117,R_7DVhIa30onScw4j,Germany,Europe,GitHub Copilot,"JavaScript, Kotlin, Python","Test case generation, Code documentation, Writing source code",Not applicable,,Belongs to no one (i.e. is in the public domain)
